id,text,category,urgency,sentiment,notes
42,"Der Timer klingelt zweimal, einmal nach 25 Minuten und dann nochmal ca. eine Minute später. Kleinigkeit, aber es stört.",technical,medium,negative,
43,SUPER APP!!! nur der preis ist zu hoch für das was sie kann,other,low,neutral,
44,"Ich nutze FocusFlow mit VoiceOver. Die Buttons im Timer-Screen haben keine Labels, ich weiß nicht was ich drücke.",feature-request,low,negative,
45,streak freeze funktion wie bei duolingo bitte,feature-request,low,neutral,
46,"Moin, ein Kollege hat mir eure App empfohlen. Gibt es Team- oder Firmenlizenzen? Wir wären ca. 40 Leute.",other,low,neutral,
47,"Erstattung bitte. Habe Pro gekauft, aber die Habits bleiben bei 3 begrenzt, also funktioniert es nicht.",billing,high,negative,"multi topic, billing and technical"
48,wieso brauch ihr zugriff auf meine kontakte??,other,low,negative,
49,"Hi, kann ich mein Abo pausieren? Bin die nächsten 3 Monate im Ausland ohne verlässliches Internet.",feature-request,low,neutral,
50,Die deutsche Übersetzung ist an einigen Stellen falsch. Auf dem Statistik-Screen steht Erfolg wo Serie gemeint ist.,technical,medium,negative,
51,app öffnet sich nicht mehr. nichts geht. hilfe,technical,high,negative,
52,"Ich hätte gerne eine Funktion, um Habits nach Kategorien zu gruppieren (Sport, Arbeit, Gesundheit).",feature-request,low,neutral,
53,"Mein Pro-Abo wurde nicht aktiviert, obwohl die Abbuchung durch ist. Seit 4 Tagen. Ich habe schon zweimal geschrieben und keine Antwort bekommen. Langsam werde ich echt sauer.",billing,high,negative,
54,kann man die daten von habitica importieren?,feature-request,low,neutral,
55,"Guten Tag, ich bin Entwicklerin und würde mich gerne initiativ bei Ihnen bewerben. An wen kann ich meine Unterlagen senden?",other,low,neutral,
56,Timer zählt im Stoppuhr-Modus rückwärts statt vorwärts,technical,medium,neutral,
57,Warum wird mir Werbung für Pro angezeigt obwohl ich Pro habe?,technical,medium,negative,
58,"Nach dem Google Sign-In lande ich in einem leeren Konto, meine alten Habits sind nicht da. Bin ich versehentlich in einem neuen Account?",account,high,negative,"multi, account und technical"
59,bitte mehr farben für die habits,feature-request,low,neutral,
60,"Ich kann mich seit gestern nicht mehr einloggen, es kommt immer Fehler 500. Ich muss aber heute unbedingt meine Abgabe tracken.",account,high,negative,"multi, account und technical"
61,"Sehr geehrte Damen und Herren, seit dem Wechsel auf das Jahresabo (59$) erhalte ich weiterhin die Aufforderung, auf Pro upzugraden. Zudem wurde mir der Restbetrag des Monatsabos nicht gutgeschrieben. Ich bitte um Klärung beider Punkte.",billing,high,negative,"multi, billing und technical"
62,gibt es die app auch auf spanisch?,feature-request,low,neutral,
63,"Der Fokus-Timer sollte Spotify pausieren können, wenn die Pause startet.",feature-request,low,neutral,
64,hab ausversehen mein konto gelöscht. kann man das rückgängig machen? war 2 jahre drin,account,high,negative,
65,test,other,low,neutral,
66,"Danke für das letzte Update, die neue Statistikansicht ist richtig gut geworden. Eine Sache: die Wochenansicht startet bei Sonntag, in Deutschland wäre Montag üblich.",feature-request,low,positive,
67,"Ihr habt mir 59$ abgebucht obwohl ich das Jahresabo NICHT verlängern wollte. Ich hatte die automatische Verlängerung ausgeschaltet, Screenshot habe ich. Bitte umgehend erstatten, sonst mache ich eine Rückbuchung über meine Bank.",billing,high,negative,"multi, billing und technical"
68,"Frage zur Datenschutzerklärung: wo genau werden die Daten gespeichert, EU oder US?",other,low,neutral,
69,sync dauert manchmal 10 minuten. ist das normal?,technical,medium,negative,
70,"kein login möglich. google sign in dreht sich endlos. android, samsung s22",account,high,negative,multi account und technical
71,"Ich möchte gerne eine Partnerschaft vorschlagen, ich betreibe einen Produktivitäts-Podcast mit rund 20k Hörern pro Folge.",other,low,neutral,
72,warum kostet das jahresabo 59$ und nicht 59€? ich bin in österreich und zahle dadurch wechselkursgebühren,other,low,negative,
73,"Hallo, mir ist aufgefallen dass die App beim Beenden eines Fokus-Blocks manchmal einfach zum Startbildschirm springt, ohne die Session zu speichern. Passiert etwa jede 5. Session. Ich habe ein Video davon, wo kann ich das hochladen?",technical,medium,negative,
